Nume_Actiune,Timestamp
new Instance of Restaurant,28/04/2021 14:49:51
new Instance of Restaurant,28/04/2021 14:49:51
new Instance of User,28/04/2021 14:49:51
new Instance of User,28/04/2021 14:49:51
new Instance of Driver,28/04/2021 14:49:51
new Instance of Driver,28/04/2021 14:49:51
new Instance of Driver,28/04/2021 14:49:51
new Instance of Driver,28/04/2021 14:49:51
new Instance of Menu,28/04/2021 14:49:51
new Instance of Menu,28/04/2021 14:49:51
new Instance of Menu,28/04/2021 14:49:51
new Instance of Menu,28/04/2021 14:49:51
new Instance of Restaurant,28/04/2021 14:49:51
new Instance of Restaurant,28/04/2021 14:49:51
